starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol,lane_r_1_vol
"2017-07-10 10:05:00-07",12.93,61.45,111,12.93,65.44,96,8.79,71.29,127,
"2017-07-10 10:10:00-07",12.91,57.85,88,14.73,63.5,88,8.55,69.88,96,
"2017-07-10 10:15:00-07",12.63,62.31,54,9.88,67.11,54,8,71.19,69,
"2017-07-10 10:20:00-07",9.13,60.95,87,10.87,66.34,99,7.27,71.83,120,
"2017-07-10 10:25:00-07",12.21,62.45,88,10.29,67.4,106,5.86,72.18,101,
"2017-07-10 10:30:00-07",12.13,59.96,113,11.8,64.93,119,8.13,70.62,126,
"2017-07-10 10:35:00-07",12,60.11,87,11.21,66.55,110,8.07,71.4,126,
"2017-07-10 10:40:00-07",9.73,61.3,79,14.13,65.93,121,9.4,70.32,149,
"2017-07-10 10:45:00-07",10.5,62.67,86,10.64,66.1,102,6.07,72.44,100,
"2017-07-10 10:50:00-07",10.8,58.1,101,11.27,65.37,123,8.47,70.17,135,
"2017-07-10 10:55:00-07",10.75,61.67,60,10.63,65.81,63,6.13,69.42,52,
"2017-07-10 11:00:00-07",12.4,58.75,96,12.4,67.56,118,7.93,70.41,125,
"2017-07-10 11:05:00-07",14.36,56.69,116,13.86,62.99,121,10.43,68.07,154,
"2017-07-10 11:10:00-07",13.33,59.48,103,13.33,64.9,125,8.47,70.45,137,
"2017-07-10 11:15:00-07",11.64,59.81,86,12.21,65.39,102,7.86,70.39,114,
"2017-07-10 11:20:00-07",12.07,60.43,99,12.73,67.47,127,7.4,71.48,118,
"2017-07-10 11:25:00-07",13.64,62.07,118,12.71,67.69,121,7.71,72.57,113,
"2017-07-10 11:30:00-07",10.67,60.14,90,11.27,68.21,121,9.33,71.32,149,
"2017-07-10 11:35:00-07",11.36,62.04,96,12.43,65.93,118,9.64,69.68,139,
"2017-07-10 11:40:00-07",10.93,61.63,108,9.13,67.78,97,9.2,70.9,142,
"2017-07-10 11:45:00-07",11.5,59.56,82,12.21,66.95,99,6.79,69.13,107,
"2017-07-10 11:50:00-07",11.33,59.27,86,11.67,66.98,118,8.47,68.35,133,
"2017-07-10 11:55:00-07",13.63,58.27,63,12.13,62.75,64,7.88,67.97,66,
"2017-07-10 12:00:00-07",8,63.18,45,8.56,67.86,66,7.22,71.3,70,
"2017-07-10 12:05:00-07",11.29,60.16,110,10.29,66.48,107,5.64,69.54,89,
"2017-07-10 12:10:00-07",6.91,62.03,39,7.36,65.61,72,5.73,71.99,75,
"2017-07-10 12:15:00-07",8.17,60.61,62,8.58,66.16,73,6.75,68.41,86,
"2017-07-10 12:20:00-07",6.87,62.78,77,8.53,68.57,84,5.33,70.49,86,
"2017-07-10 12:25:00-07",9.79,59.33,82,6.29,66.31,62,3.93,70.5,66,
"2017-07-10 12:30:00-07",7.6,59.11,74,6.87,63.44,61,4.2,67.36,69,
"2017-07-10 12:35:00-07",54.71,14.12,49,46.93,13.41,58,29.29,18.15,92,
"2017-07-10 12:40:00-07",45.73,8.36,39,60.91,9,27,37.45,9.29,52,
"2017-07-10 12:45:00-07",39.33,16.48,25,56.17,19.75,24,28.17,20.75,40,
"2017-07-10 12:50:00-07",39.33,12.72,39,41.56,18.45,42,26.22,19.09,53,
"2017-07-10 12:55:00-07",38.86,14.99,86,34.71,20.17,78,22.79,23.57,102,
"2017-07-10 13:00:00-07",49.13,6.06,54,51.6,7.6,35,36.6,9.25,76,
"2017-07-10 13:05:00-07",42.36,11.66,70,41.64,13.53,72,28.43,16.81,94,
"2017-07-10 13:10:00-07",48,14.41,59,35.53,19.42,83,21.07,23.42,105,
"2017-07-10 13:15:00-07",51.29,10.02,54,45.43,9.67,63,28.93,14.39,76,
"2017-07-10 13:20:00-07",44.64,10.86,37,43.45,11.75,48,31.91,16.42,57,
"2017-07-10 13:25:00-07",25.75,29.9,80,22.42,34.87,83,15.5,39.1,106,
"2017-07-10 13:30:00-07",33.87,22.4,93,29.53,25.89,95,18.47,30.17,120,
"2017-07-10 13:35:00-07",29.79,23.82,92,27.29,27.31,99,20,30.13,124,
"2017-07-10 13:40:00-07",36.67,23.88,120,21.73,29.61,108,18.8,33.22,129,
"2017-07-10 13:45:00-07",36.86,17.18,82,35.21,20.87,83,22.36,24.86,103,
"2017-07-10 13:50:00-07",38.47,19.97,90,32.4,23.23,92,22.2,26.63,119,
"2017-07-10 13:55:00-07",40.36,17.34,93,26.29,23.91,102,19.79,26.41,103,
"2017-07-10 14:00:00-07",37.11,17.81,59,32.33,22.43,63,22.56,24.13,70,
"2017-07-10 14:05:00-07",36.57,21,85,26.57,25.44,87,22.21,26.08,119,
"2017-07-10 14:10:00-07",35.64,15.9,63,37,19.16,76,27,24.84,83,
"2017-07-10 14:15:00-07",30.33,24.11,36,23,28.87,46,19.33,33.61,56,
"2017-07-10 14:20:00-07",35.33,16.32,85,35.2,17.91,90,28.13,21.35,108,
"2017-07-10 14:25:00-07",34.57,25.65,104,21.93,31.08,98,18.36,33.4,126,
"2017-07-10 14:30:00-07",28.87,31.66,134,23.8,34.88,109,19.07,36.18,141,
"2017-07-10 14:35:00-07",34.21,25.57,104,28.79,30.29,114,20.36,31.29,127,
"2017-07-10 14:40:00-07",32.87,21.21,104,25.13,26.81,107,18.87,27.01,117,
"2017-07-10 14:45:00-07",37.21,20.67,91,29.57,24.86,104,26.43,23.97,110,
"2017-07-10 14:50:00-07",31.6,21.79,113,25.07,28.86,114,20.2,30.88,138,
"2017-07-10 14:55:00-07",35.86,22.32,94,26.14,27.39,112,31,28.44,96,
"2017-07-10 15:00:00-07",41.47,18.98,105,29.67,26.79,103,19.27,30.61,126,
"2017-07-10 15:05:00-07",36.57,18.29,79,33.14,17.98,95,34.36,18.89,106,
"2017-07-10 15:10:00-07",28.4,27.85,80,24.2,33.24,68,15.6,37.68,88,
"2017-07-10 15:15:00-07",33,26.45,116,30,28.04,98,21.29,32.03,116,
"2017-07-10 15:20:00-07",29.4,25.91,111,19.4,33.81,108,14.6,36.19,124,
"2017-07-10 15:25:00-07",4.43,60.35,52,3.14,68.46,48,2,71.61,46,
"2017-07-10 15:30:00-07",6.27,65.27,63,6.2,71.98,82,3.93,73.79,70,
"2017-07-10 15:35:00-07",5.79,61.4,63,7.5,66.76,76,4.21,71.34,65,
"2017-07-10 15:40:00-07",3.73,62.9,60,4.53,68.18,73,1.73,72.97,39,
"2017-07-10 15:45:00-07",3.29,65.15,48,4.21,69.74,57,1.64,74.05,37,
"2017-07-10 15:50:00-07",3.87,64.62,42,5,70.22,64,1.4,73.6,35,
"2017-07-10 15:55:00-07",3.13,67,28,5.38,68.77,35,3,74,27,
"2017-07-10 16:00:00-07",2.6,66.96,45,4,71.31,52,1.53,76.17,36,
"2017-07-10 16:05:00-07",6.64,64.95,60,4.86,71.31,49,2.5,75.02,47,
"2017-07-10 16:10:00-07",5.13,63.84,69,4.13,70.53,57,1.93,73.12,43,
"2017-07-10 16:15:00-07",3,62.94,36,4,71.79,56,1.71,73.26,38,
"2017-07-10 16:20:00-07",5.6,63.74,61,8.4,68.6,81,3.53,72.83,65,
"2017-07-10 16:25:00-07",5,67.53,47,4.79,69.2,56,3.79,72.22,65,
"2017-07-10 16:30:00-07",3.73,66.52,42,4.27,69.11,66,3.2,72.03,60,
"2017-07-10 16:35:00-07",5.07,67.7,46,5.5,71.38,65,3.21,72.14,58,
"2017-07-10 16:40:00-07",4.9,70.62,42,7.9,67.33,48,5.4,71.43,60,
"2017-07-10 16:45:00-07",6.29,66.1,62,6.57,67.89,79,5.14,71.7,74,
"2017-07-10 16:50:00-07",6.4,65.19,64,7.13,66.48,85,6.2,72.57,102,
"2017-07-10 16:55:00-07",6.79,62.91,67,8.07,67.17,88,7.79,71.16,114,
"2017-07-10 17:00:00-07",5.47,63.89,65,9.93,66.33,95,7.47,68.13,112,
"2017-07-10 17:05:00-07",11.71,57.35,102,12.93,57.7,102,11,59.64,138,
"2017-07-10 17:10:00-07",13.18,55.74,91,12.82,57.23,84,11.64,61.78,120,
"2017-07-10 17:15:00-07",31.83,22.05,80,19.25,26.32,65,22.5,25.74,94,
"2017-07-10 17:20:00-07",18.13,42.42,118,18.2,41.13,115,15.53,41.48,145,
