starttime,lane_1_occ,lane_1_spd,lane_1_vol,lane_2_occ,lane_2_spd,lane_2_vol,lane_3_occ,lane_3_spd,lane_3_vol
"2017-08-20 08:00:00-07",2.79,68.04,51,4.57,67.71,68,3.86,67.16,45
"2017-08-20 08:05:00-07",3.18,67.09,47,6.45,67.63,76,4.36,66.37,46
"2017-08-20 08:10:00-07",2.71,68.48,50,5.79,68.12,82,4.79,63.07,46
"2017-08-20 08:15:00-07",3.36,69.46,48,4.73,69.13,55,5.91,63.79,48
"2017-08-20 08:20:00-07",3.93,69.32,66,4.43,69.56,68,5.64,64.09,54
"2017-08-20 08:25:00-07",4.73,67.56,55,7.55,66.87,67,6.45,64,52
"2017-08-20 08:30:00-07",5,66.95,83,7.5,67.23,104,4.07,63.04,51
"2017-08-20 08:35:00-07",5.73,66.48,69,8.55,66.38,81,6.09,62.43,30
"2017-08-20 08:40:00-07",2.57,69.49,43,6.29,68.68,93,2.14,67.6,40
"2017-08-20 08:45:00-07",4.36,70.54,61,5.64,69.26,73,4.64,64.05,37
"2017-08-20 08:50:00-07",4.43,69.76,76,4.57,69.15,68,3.93,63.72,53
"2017-08-20 08:55:00-07",6.09,68.86,78,7,68.82,72,3.27,63.5,28
"2017-08-20 09:00:00-07",6.79,66,108,6.64,66.67,94,9.21,60.72,72
"2017-08-20 09:05:00-07",4.09,66.91,54,8.45,66.5,88,6.36,63.37,54
"2017-08-20 09:10:00-07",4.07,69.74,72,6.43,68.41,98,7,63.69,67
"2017-08-20 09:15:00-07",6.82,67.83,84,7.09,68.72,78,6.09,65.27,59
"2017-08-20 09:20:00-07",6.38,66.81,58,7,66.9,60,5.5,61.6,42
"2017-08-20 09:25:00-07",4.82,68.32,66,6.55,67.38,65,6.55,63.84,56
"2017-08-20 09:30:00-07",5.07,68.8,87,8,69.35,112,4.79,64.45,42
"2017-08-20 09:35:00-07",5.91,69.09,70,6.36,67.94,67,5.36,65.12,49
"2017-08-20 09:40:00-07",7.14,68.38,118,9.43,66.97,118,7,62.28,71
"2017-08-20 09:45:00-07",6.73,65.94,85,10.27,66.14,98,8,63.18,74
"2017-08-20 09:50:00-07",7.57,66.9,118,7.86,67.75,116,8.21,63.35,88
"2017-08-20 09:55:00-07",8.36,65.11,104,10.09,66.02,96,7.91,61.66,64
"2017-08-20 10:00:00-07",7.64,65.7,121,8.86,65.5,113,6.64,59.59,61
"2017-08-20 10:05:00-07",9.36,63.88,112,8.09,64.89,94,6.82,62.3,66
"2017-08-20 10:10:00-07",11.14,63.76,157,9.64,65.17,123,10.29,60.31,98
"2017-08-20 10:15:00-07",7.18,67.68,93,6.91,69.33,84,5,63.56,59
"2017-08-20 10:20:00-07",9.86,67.39,155,8.64,68.08,119,7.36,63.55,82
